scenario_name,num_agents,num_items,epsilon,delta,alpha,num_steps,variance,noise_level,min_pos_u,max_pos_u,avg_pos_u,var_pos_u,core_sw,core_min_sw_si,core_max_sw_si,core_avg_sw_si,core_var_sw_si,ppga_sw,ppga_min_sw_si,ppga_max_sw_si,ppga_avg_sw_si,ppga_var_sw_si,ppga_capacity_violation,ppga_core_z_distance,ppga_core_sw_avg,ppga_core_sw_var
poland_gdansk_2020_,30237,28,0.33478117263581747,0.0017252494783295649,17.507189299125137,30,3.4318575433234535e-06,9.60920112130567e-05,1,1,1.0,0.0,0.06006126295157441,154.39742091495515,15893.173421339521,4846.8303612424515,19581899.109043576,0.05916878381563295,106.85276659407646,15626.20910514889,4827.098240213353,18860133.940392055,0.0,0.00034189758065432716,0.9851405199943756,3.3961972217708713e-07
poland_wroclaw_2017_,62529,50,0.3127553202003608,0.0011997216968457536,19.6786238202612,62,1.995486234963476e-06,9.97743117481738e-05,1,2,1.7905451870332165,0.16558349429183317,0.10846063888316207,90.70848879835731,43690.43040800194,17124.589430852448,179565737.73617786,0.10794307590925763,111.8785638252314,43588.66373268688,17046.12552066598,178671011.06707072,0.0,7.901024740391454e-05,0.9952281032157483,2.64038330102729e-08
poland_warszawa_2023_mokotow,11067,81,0.37091713795456493,0.0028517161801507123,14.722168321946365,11,7.129478106318921e-06,0.0005774877266118327,1,15,9.06361254179091,33.52391946964663,0.1629564093595653,244.71372491924535,8560.94063840991,4329.372406410183,2021706.301058018,0.15877230206737347,33.89775379209856,8526.495958373001,4244.9619702697555,1886210.2007280702,0.0,0.0003038433655150259,0.974323763584165,4.903755925086089e-06
poland_katowice_2021_,36370,47,0.3288937572200373,0.0015730756341586418,18.046540618478545,36,2.986649285439604e-06,0.00014037251641566136,1,3,1.471927412702777,0.5370315614069161,0.08033243708941352,235.45675154285934,20519.570032736738,6586.160422492095,29313232.604458243,0.07945322333592601,191.0719703187113,20282.540192212524,6535.479039655388,28562109.477002382,0.0,0.0001418905671502587,0.9890553083493672,1.073033161098596e-07
poland_warszawa_2020_praga-poludnie,14897,134,0.3594451187242478,0.0024579432179617244,15.519202060247215,14,5.447499427053214e-06,0.0007299649232251306,1,15,9.146405316506678,31.505517218547286,0.1387603361006657,236.4443860400219,12644.837436528442,4404.575542122029,7089420.965638969,0.13601560653174125,17.00034956048011,13543.871936196672,4330.000407983579,6826719.475022631,0.0,0.0001619453782126829,0.980219638795533,2.9376380113197223e-06
poland_wroclaw_2016_,67103,52,0.31076863433928703,0.0011581112657891132,19.896692839745004,67,1.9053055870703622e-06,9.907589052765883e-05,1,2,1.7762842197815298,0.1736670298997113,0.11918893828283028,122.58368926419243,53252.10219882568,21830.775217418646,271864385.0585305,0.11863377403650929,128.3489244381442,53132.53045314413,21726.615638791955,270312256.926538,0.0,7.546282739993771e-05,0.9953421495793207,2.2367890401324783e-08
poland_warszawa_2020_,86721,101,0.30375906230907895,0.0010187300480755648,20.69943455265791,86,1.5585083414562639e-06,0.00015740934248708265,1,10,7.2472180901973,10.884548049079926,0.20876239180813222,261.3003796100089,82447.94539635036,49496.04997973451,411942902.7255612,0.20816984051512627,130.04973086941285,82383.72137780246,49375.59494940102,409504803.3809225,0.0,3.134553806795815e-05,0.997161599424716,2.257241824128306e-08
poland_warszawa_2021_mokotow,12933,98,0.3648126720213837,0.002637980712738325,15.13727417843621,12,5.953747997033231e-06,0.0005834673037092566,1,15,9.70834299853089,31.00903655690548,0.1795604073532143,216.14735162007253,10734.274331389337,5049.536289144967,4267377.759351833,0.17518683437653082,37.501827919029935,10597.430508517344,4939.417140705668,4028564.449569998,0.0,0.00023205910088546647,0.9756428878662533,2.114963424893206e-06
poland_wroclaw_2016_rejon-nr-12-250,10711,15,0.3722241367035599,0.0028987198536967428,14.635836608611822,10,6.854613598208293e-06,0.00010281920397312437,1,1,1.0,0.0,0.26697060932134165,11.044931187217456,6089.950318892453,3104.3069407338508,6088217.730979233,0.2644798497619446,11.071479132132373,6042.595990558233,3076.9771246556934,6003462.004807571,0.0,0.00044925722416767775,0.9906702855204595,2.735702697647581e-07
poland_wroclaw_2016_rejon-nr-10-750,12664,13,0.3656243940408252,0.0026658505805373083,15.080921503941331,12,6.1725149971944574e-06,8.024269496352795e-05,1,1,1.0,0.0,0.324635502690275,15.003967517402701,6766.294294019369,4121.454527624089,7831888.312726679,0.3243574093290799,14.324051036379467,6759.897902496842,4117.931012838664,7815023.369577331,0.0,9.763366044751786e-05,0.99914336738006,9.539293899102356e-08
poland_warszawa_2022_,81234,129,0.3055152941568376,0.001052573266254254,20.493280510293694,81,1.6467128177200848e-06,0.0002124259534858909,1,10,7.94439520397863,10.39170585144609,0.18207683085098425,163.5412936624075,67170.3933693947,27530.001901992524,218961695.51406533,0.18167208183463524,168.03951823371006,67096.17658086523,27476.75685799044,218158612.88449028,0.0,1.7200048462778845e-05,0.9977770427217055,1.3404451564673742e-08
poland_warszawa_2021_,95899,106,0.3010951385088511,0.0009687555764573836,21.0188272681539,95,1.442215575980695e-06,0.00015287485105395366,1,10,8.276009134610371,8.93672837272545,0.19855983991805848,519.7628811652883,85621.08963181912,42864.84049363434,266283206.16878435,0.19800489430543394,513.4085888262439,85524.95289754373,42755.92697819539,264660367.3525158,0.0,2.1468407116035357e-05,0.9972051467564963,9.449488252492016e-09
